Team,G,R,H,H1B,H2B,H3B,HR,RBI,BB,SO,SB,AVG,OBP
Texas Rangers,152,764,1444,941,283,32,188,738,448,1030,89,0.275,0.335
Los Angeles Angels,153,726,1424,972,252,20,180,691,423,1041,125,0.273,0.331
Colorado Rockies,152,718,1425,932,286,49,158,680,432,1129,96,0.272,0.329
St. Louis Cardinals,153,723,1447,983,277,35,152,691,503,1128,89,0.272,0.338
San Francisco Giants,153,683,1419,997,273,54,95,642,453,1032,111,0.27,0.327
Detroit Tigers,152,689,1379,922,267,37,153,663,490,1042,53,0.268,0.336
Kansas City Royals,152,644,1412,971,282,37,122,613,380,958,126,0.267,0.319
Boston Red Sox,154,716,1413,907,330,16,160,678,411,1129,92,0.264,0.319
Minnesota Twins,153,673,1377,964,258,29,126,640,481,1004,129,0.262,0.326
Washington Nationals,152,680,1377,894,281,23,179,640,448,1236,95,0.261,0.322
New York Yankees,152,736,1345,849,259,12,225,710,523,1115,90,0.261,0.333
Milwaukee Brewers,152,733,1362,854,284,36,188,699,447,1185,150,0.261,0.327
Arizona Diamondbacks,152,693,1334,855,293,32,154,673,504,1190,87,0.261,0.329
Philadelphia Phillies,153,652,1340,910,253,25,152,628,429,1021,112,0.256,0.317
Chicago White Sox,152,702,1321,875,220,29,197,681,423,1124,101,0.255,0.317
Cincinnati Reds,153,651,1315,834,284,28,169,618,462,1182,87,0.253,0.318
New York Mets,152,612,1276,856,272,19,129,591,482,1186,72,0.25,0.317
Atlanta Braves,153,672,1283,860,251,27,145,635,537,1215,93,0.249,0.321
Cleveland Indians,153,620,1290,890,246,24,130,590,513,1005,102,0.249,0.321
Los Angeles Dodgers,153,591,1270,894,252,21,103,563,462,1094,97,0.248,0.314
San Diego Padres,153,617,1269,858,257,41,113,579,506,1173,142,0.248,0.32
Baltimore Orioles,152,667,1296,826,260,16,194,635,456,1227,51,0.247,0.312
Pittsburgh Pirates,152,622,1250,825,229,34,162,591,413,1271,66,0.245,0.306
Miami Marlins,153,587,1260,843,250,37,130,555,458,1143,144,0.245,0.309
Toronto Blue Jays,151,669,1242,804,231,21,186,631,439,1178,121,0.243,0.307
Chicago Cubs,153,586,1238,821,251,36,130,545,413,1171,92,0.242,0.302
Tampa Bay Rays,153,659,1229,802,241,29,157,628,539,1241,131,0.241,0.318
Houston Astros,153,551,1211,821,232,27,131,514,443,1293,103,0.237,0.303
Oakland Athletics,152,651,1223,767,249,29,178,622,515,1296,117,0.236,0.309
Seattle Mariners,153,573,1206,824,218,26,138,543,436,1183,101,0.233,0.294
